id_venta,fecha,id_producto,cantidad,precio_unitario,id_sucursal
1,2024-01-07,P020,1,50,S001
2,2024-01-20,P019,4,100,S002
3,2024-01-15,P019,5,100,S001
4,2024-01-11,P002,1,300,S002
5,2024-01-08,P013,3,300,S001
6,2024-01-21,P003,3,300,S002
7,2024-01-07,P012,1,300,S002
8,2024-01-26,P014,5,300,S002
9,2024-01-19,P003,1,50,S002
10,2024-01-23,P010,3,100,S002
11,2024-01-11,P018,2,100,S002
12,2024-01-11,P009,4,100,S001
13,2024-01-24,P010,3,100,S001
14,2024-01-21,P005,1,300,S001
15,2024-01-04,P003,4,100,S002
16,2024-01-08,P011,1,50,S002
17,2024-01-24,P007,1,50,S002
18,2024-01-03,P013,2,100,S002
19,2024-01-22,P014,4,100,S001
20,2024-01-21,P012,4,50,S001
21,2024-01-02,P019,2,50,S002
22,2024-01-24,P014,3,300,S001
23,2024-01-12,P018,1,50,S001
24,2024-01-06,P012,5,300,S002
25,2024-01-02,P016,1,300,S001
26,2024-01-28,P009,1,300,S002
27,2024-01-21,P018,3,300,S001
28,2024-01-01,P009,1,300,S002
29,2024-01-12,P011,2,100,S002
30,2024-01-26,P001,2,50,S002
31,2024-01-22,P004,4,300,S002
32,2024-01-12,P006,5,50,S001
33,2024-01-25,P001,1,50,S002
34,2024-01-17,P009,1,300,S002
35,2024-01-27,P011,3,100,S002
36,2024-01-27,P017,2,300,S001
37,2024-01-10,P005,5,100,S002
38,2024-01-28,P015,4,50,S001
39,2024-01-28,P003,2,100,S002
40,2024-01-16,P007,4,100,S001
41,2024-01-15,P014,3,100,S001
42,2024-01-15,P019,3,50,S002
43,2024-01-19,P006,1,50,S001
44,2024-01-12,P017,5,100,S002
45,2024-01-23,P005,4,100,S002
46,2024-01-20,P003,2,300,S002
47,2024-01-25,P012,3,100,S001
48,2024-01-03,P009,1,300,S001
49,2024-01-05,P009,1,100,S002
50,2024-01-19,P005,4,300,S002
51,2024-01-07,P003,3,50,S001
52,2024-01-21,P005,5,100,S002
